User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,Genoíno é torturado... com a verdade no plenário da Câmara. http://bit.ly/13oT1UR,2013-02-28 13:36:52+00:00,32,4,,
jairbolsonaro,Flávio Bolsonaro é eleito um dos deputados mais atuantes na Assembléia Legislativa do RJ. http://j.mp/YyAu0r,2013-02-26 23:40:12+00:00,8,2,,
jairbolsonaro,"Da noite para o dia apareceram 50 mil presos pela ""ditadura"". C/ bolsas ($$$) pra lá e pra cá, o governo vai aumentando seu rebanho.",2013-02-26 17:52:24+00:00,28,3,,
jairbolsonaro,Governo inclui bolsa-família e aux-desemprego como empregados. S/ eles o real n° d desempregados gira em torno d 30%.,2013-02-25 17:47:32+00:00,27,5,,
jairbolsonaro,"Mesmo c/ ameaças à blogueira cubana, Chico Alencar (PSOL) nega proteção à Yoani Sánchez. Será pq? http://bit.ly/YdNF8Y",2013-02-21 16:47:52+00:00,7,1,,
jairbolsonaro,Resposta ao Jornal O Globo sobre insinuação d q recebo recursos financeiros d empresas bélicas. http://bit.ly/15pjEYO,2013-02-18 13:35:53+00:00,7,2,,
