User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,Desejo um ano melhor aos amigos e um abraço hétero aos q diariamente me xingam e me enchem d orgulho d fazer vcs chorarem! Vamos adiante!,2015-12-31 16:13:30+00:00,564,1045,,
jairbolsonaro,"A ""CRISE MUNDIAL"" DO PT: nos últimos 5 anos o mundo cresceu cerca d 18%, os emergentes, fora o Brasil, 28%; e o Brasil, 5,3%. -@JornalOGlobo",2015-12-30 08:48:32+00:00,279,344,@JornalOGlobo,
jairbolsonaro,"Ex-marido de Dilma explica como mantinha seu relacionamento amoroso: assaltando bancos, roubando caminhões e armas. http://zip.net/btsC5j",2015-12-29 14:19:43+00:00,461,532,,
jairbolsonaro,"Chico roubava carros e Dilma cargas e cofres! A ligação destes vai mto além do dinheiro, mas d ideal! Ambos ""combatentes do Regime Militar""!",2015-12-29 13:48:47+00:00,395,581,,
jairbolsonaro,No corrente ano o estado de PERNAMBUCO será aquele que mais vai DECRESCER economicamente. Os motivos e causas:,2015-12-27 18:33:48+00:00,325,438,,
jairbolsonaro,"Alinhar propostas econômicas c/ ""novos"" economistas, s/ propor + do mesmo, seguindo a linha d Menos Estado p/ oxigenar a economia d verdade!",2015-12-23 08:47:11+00:00,120,326,,
jairbolsonaro,"PREJUÍZO COM CORRUPÇÃO NA LAVA-JATO (R$42 bi) / CORTE MINISTÉRIO DA DEFESA (R$4,4 bi). Esse é o Brasil do PT.",2015-12-21 15:34:21+00:00,321,397,,
jairbolsonaro,"Hj a pior fase econômica e social e, ""pesquisa"" mostra Dilma recuperando popularidade. Opinião Pública ou Publicada?",2015-12-20 09:18:29+00:00,188,301,,
jairbolsonaro,A Polícia Federal em minha casa!!!,2015-12-18 23:59:35+00:00,160,325,,
jairbolsonaro,BOLSONAROFOBIA.,2015-12-18 18:08:47+00:00,366,641,,
jairbolsonaro,"Feliz por conversar alguns min. c/ Sara Winter no telefone. As pessoas mudam e, pelo conversado, hj ela é mãe e se arrepende de mtas coisas.",2015-12-18 00:26:02+00:00,299,638,,
jairbolsonaro,Boa ironia!!!,2015-12-15 00:03:40+00:00,174,320,,
jairbolsonaro,Domingo - 13/12/15 - no Leblon em direção a Copacabana c/ @FlavioBolsonaro e @CarlosBolsonaro . #ForaPT #Brasil,2015-12-12 18:56:29+00:00,206,331,@FlavioBolsonaro @CarlosBolsonaro,#ForaPT #Brasil
jairbolsonaro,"Obrigado pela recepção no aeroporto, MANAUS-AM! Indo para os compromissos emocionado!",2015-12-10 18:57:08+00:00,349,604,,
jairbolsonaro,"Paraguai, Argentina, Venezuela ..... AGORA É A VEZ DO NOSSO BRASIL! DIA 13/12 - TODOS NAS RUAS. http://migre.me/slask",2015-12-08 15:18:12+00:00,281,398,,
jairbolsonaro,PSC indica @BolsonaroSP e @marcofeliciano para Comissão Especial do Impeachment.,2015-12-08 09:37:04+00:00,333,815,@BolsonaroSP @marcofeliciano,
jairbolsonaro,"""O MARACANÃ É NOSSO!"" #Palmeiras #Verdão",2015-12-06 19:51:58+00:00,525,957,,#Palmeiras #Verd
jairbolsonaro,INTERPOL :Permitir q cidadãos d bem portem armas de fogo é a maneira mais efetiva d se prevenir ataques terroristas.http://10news.dk/?p=760,2015-12-03 17:30:20+00:00,205,371,,
jairbolsonaro,#impeachment #ForaDilma,2015-12-02 21:43:17+00:00,973,1333,,#impeachment #ForaDilma
jairbolsonaro,REMEMBERING: The Brazilian State Legislator @FlavioBolsonaro says the truth about the government and its friends. http://migre.me/shyuu,2015-12-02 14:56:57+00:00,39,92,@FlavioBolsonaro,
jairbolsonaro,"Em 2012, sem BOLA DE CRISTAL e SEM SER ECONOMISTA, já previa o CAOS ECONÔMICO de hoje. http://twixar.me/ZGR",2015-12-31 15:58:04+00:00,104,208,,
jairbolsonaro,"Em debate c/ ex-marido d Dilma, ele teve a cara de pau d dizer q eu era mentiroso ao mencionar seu passado. http://zip.net/bdsC0M",2015-12-29 14:23:47+00:00,137,237,,
jairbolsonaro,O TRABALHO DOS FILHOS DE BOLSONARO: Clique e saiba muito mais sobre as realizações de cada um. http://goo.gl/fjD31J,2015-12-28 12:42:33+00:00,70,187,,
jairbolsonaro,FELIZ NATAL E UM PRÓSPERO ANO NOVO!!! Ass: @BolsonaroSP @DepBolsonaro @FlavioBolsonaro e @CarlosBolsonaro,2015-12-24 13:12:17+00:00,159,599,@BolsonaroSP @FlavioBolsonaro @CarlosBolsonaro,
jairbolsonaro,"Livro -"" A VIDA SECRETA DE FIDEL"", pág 160 / Livro -"" UNA OVEJA NEGRA AL PODER"", pág 227. Veja e indigne-se:",2015-12-23 00:44:37+00:00,174,243,,
jairbolsonaro,ENTREVISTA COM BOLSONARO: Brasil precisa de menos estado e mais mercado.,2015-12-21 23:40:56+00:00,159,285,,
jairbolsonaro,"EDUCAÇÃO PAULO FREIRE POR @CarlosBolsonaro : Hj, escolas são máquinas d produzir analfabetos e militantes políticos: http://zip.net/bmszzZ",2015-12-21 18:46:56+00:00,152,268,@CarlosBolsonaro,
jairbolsonaro,Um General Comandante de Colégio Militar sendo Ministro da Educação e o fim da doutrinação ideológica pregada por seguidores d Paulo Freire.,2015-12-21 18:33:40+00:00,114,253,,
jairbolsonaro,G1 ( http://goo.gl/Qc4YtR ) mostra pesquisa presidencial e OGLOBO ( http://migre.me/std8r ) faz a mesma matéria retirando meu nome. PQ?,2015-12-20 09:29:10+00:00,111,208,,
jairbolsonaro,http://goo.gl/sUuuOo (VOCÊ AINDA ACHA QUE AS ARMAS PARA O PT EVITAR O IMPEACHMENT SÃO AS LEIS E CONSTITUIÇÃO?,2015-12-15 20:55:23+00:00,225,282,,
jairbolsonaro,ALERTA AO MP: Exercer a função parlamentar vai além d aprovar projetos; tb é denunciar sobre males q enfrentamos. http://migre.me/spj1s,2015-12-15 15:01:35+00:00,101,249,,
jairbolsonaro,Agradeço a @alex_borges pela consideração em seu texto escrito após ato em prol do impeachment realizado no RJ. https://goo.gl/gAodBr,2015-12-14 18:12:19+00:00,56,201,@alex_borges,
jairbolsonaro,13/12/2015- Copacabana: Mais importante q nossa vida é a nossa liberdade! C/ @FlavioBolsonaro e @CarlosBolsonaro . http://migre.me/sokpl,2015-12-14 00:47:54+00:00,76,215,@FlavioBolsonaro @CarlosBolsonaro,
jairbolsonaro,"Jair Messias Bolsonaro DÁ AULA DE VERDADES P/ A ESQUERDA, FEMINISTAS E ""MOVIMENTOS SOCIAIS"". http://migre.me/smSGV (via @CarlosBolsonaro )",2015-12-11 11:42:17+00:00,113,254,@CarlosBolsonaro,
jairbolsonaro,PL5398/13- o condenado por estupro somente terá progressão de pena caso submeta-se à castração química voluntária.,2015-12-10 14:45:42+00:00,149,254,,
jairbolsonaro,"E há idiotas q creem ñ existir a união destes em prol d seus ideais, roubando o erário d seu cidadão. #ForaForoDeSP",2015-12-07 13:26:04+00:00,145,252,,#ForaForoDeSP
jairbolsonaro,"Hoje é aniversário do meu segundo garoto, o vereador @CarlosBolsonaro . Um grande abraço de seu pai!",2015-12-07 12:00:02+00:00,47,412,@CarlosBolsonaro,
jairbolsonaro,BOLSONARO X FORO DE SÃO PAULO: Gravação de setembro de 2015 que passa hoje na TV aberta do estado em que foi eleito. http://migre.me/sj36s,2015-12-04 21:06:48+00:00,90,174,,
jairbolsonaro,"Bolsa de Buenos Aires valorizou + d 64% em 2015. No Brasil, após o ""anúncio do impeachment"", o Ibovespa saltou 3,6%.",2015-12-04 16:26:03+00:00,120,200,,
jairbolsonaro,"Em livro ex-presidente uruguaio, Mujica:""Dilma usa das inteligências de CUBA e VENEZUELA p/ decisões de ESTADO"".",2015-12-02 15:50:28+00:00,269,291,,
jairbolsonaro,"Blog Família Bolsonaro: ""CRISE HÍDRICA"" E O FORO DE SÃO PAULO - QUEM PAGA É O CONTRIBUINTE / entenda. http://migre.me/sh5VX",2015-12-01 20:21:35+00:00,63,127,,
jairbolsonaro,TRIPLO“A”: Gigantesco “corredor ecológico” d 130milhões d hectares é nova ameaça à soberania brasileira na Amazônia. http://goo.gl/n09Zrv,2015-12-01 16:59:59+00:00,63,122,,
jairbolsonaro,Agradeço a garotada pelos desenhos que têm feito e chegado a meu conhecimento. Muito obrigado!,2015-12-01 15:56:21+00:00,78,377,,
