User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,MAIS MÉDICOS: STF aguarda esclarecimentos d Presidente p/ julgar mandado d segurança d Bolsonaro. http://goo.gl/7LLnb,2013-07-18 23:12:24+00:00,10,0,,
jairbolsonaro,Bolsonaro aciona Justiça contra importação de médicos cubanos ao Brasil. http://goo.gl/sNM6w,2013-07-17 19:44:47+00:00,17,0,,
jairbolsonaro,"Sob meu comando, o Policial Federal Eduardo Bolsonaro, será candidato a deputado federal em SP. http://goo.gl/OR3MY",2013-07-17 11:32:37+00:00,6,0,,
jairbolsonaro,"Bolsonaro e Yoani Sánchez mostram a verdadeira relação entre o PT, PCdoB, PSOL e Cuba.",2013-07-16 14:59:32+00:00,9,4,,
jairbolsonaro,O Q VC Ñ SABIA: Eleições d melhores deputados do site Congresso em Foco são suspeitosas. http://ow.ly/1Zgc0R,2013-07-15 01:24:54+00:00,7,1,,
jairbolsonaro,Estou agora ao vivo na Redetv no programa Morning Show.,2013-07-12 11:40:58+00:00,5,1,,
jairbolsonaro,Presidente da Comissão Nacional de Direitos Humanos da OAB faz jantar em homenagem a Zé Dirceu. http://ow.ly/1YPTMT,2013-07-09 00:17:28+00:00,106,6,,
jairbolsonaro,Bolsonaro desafia pelegos da OAB após ameaça d mais um processo d cassação. http://ow.ly/1YKN1y,2013-07-08 12:20:26+00:00,20,3,,
jairbolsonaro,Aconteceu: Bolsonaro esculhamba presidente da OAB.,2013-07-08 00:27:03+00:00,41,5,,
jairbolsonaro,"""O PSOL é o PT pintado de rosa!"": Após reunir-se com UNE e MST, Dilma faz reunião com PSOL.",2013-07-02 12:28:57+00:00,112,14,,
