User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,Livros do MEC ensinam que p/ o sucesso do socialismo você deve executar seu oponente.,2014-05-30 22:59:46+00:00,115,50,,
jairbolsonaro,Jair Bolsonaro sobre decisão da ONU que poderá dividir o território brasileiro em vários países.,2014-05-29 15:25:22+00:00,100,46,,
jairbolsonaro,IRÃ & BRASIL: Tirem suas conclusões.,2014-05-29 01:07:34+00:00,75,50,,
jairbolsonaro,"Votação prevista p/ amanhã do Plano Nacional de Educação, entre as propostas, o PT tentará acabar c/ a meritocracia nas escolas.",2014-05-27 22:47:26+00:00,69,37,,
jairbolsonaro,@FlavioBolsonaro fala em hangout ao vivo sobre os perigos da desmilitarização das PMs do Brasil. https://www.youtube.com/watch?v=v04AnLLJjAc,2014-05-27 00:21:43+00:00,8,10,@FlavioBolsonaro,
jairbolsonaro,Seguimos com a bateria de entrevistas para blogs de todo Brasil. http://ow.ly/3kWU64,2014-05-26 14:13:05+00:00,16,13,,
jairbolsonaro,BOLSONARO X DILMA.,2014-05-22 18:55:20+00:00,141,103,,
jairbolsonaro,PP DECIDIRÁ POR PRESIDÊNCIA NO DIA 25 DE JUNHO.,2014-05-21 18:28:23+00:00,86,74,,
jairbolsonaro,Bolsonaro é entrevistado na @RadioJCNews de Pernambuco. http://goo.gl/TRgHnK,2014-05-19 14:36:15+00:00,31,23,,
jairbolsonaro,ESCOLA SEM PARTIDO: @FlavioBolsonaro apresenta projeto contra doutrinação ideológia no ensino público. http://goo.gl/JMA1gQ,2014-05-15 16:13:37+00:00,76,80,@FlavioBolsonaro,
jairbolsonaro,"Ciro Nogueira, presidente do PP, mesmo s/ ouvir o partido, quer apoiar a reeleição de Dilma Rousseff. http://goo.gl/Lwpkmu",2014-05-14 21:14:08+00:00,34,20,,
jairbolsonaro,Visita à uma das melhores unidades de Polícia Militar do Brasil; o BOPE. C/ @VerBolsonaro e @FlavioBolsonaro,2014-05-12 19:52:21+00:00,54,80,@VerBolsonaro @FlavioBolsonaro,
jairbolsonaro,Deputado do PT quer importação de banana do Equador e coloca em risco produtores do Brasil.,2014-05-09 19:23:53+00:00,62,27,,
jairbolsonaro,"EQUIPE UNIDA DEFENDENDO MENSALEIROS PRESOS: (André Vargas, José Guimarães, Vicentinho e Benedita)",2014-05-09 14:50:54+00:00,116,43,,
jairbolsonaro,@ricardosetti cordialmente cedeu-me espaço em sua coluna p/ q pudesse falar sobre as eleições presidencias deste ano. http://goo.gl/DLbZT1,2014-05-08 22:08:18+00:00,11,10,@ricardosetti,
jairbolsonaro,BOLSONARO PRESIDENTE? HÁ ESPERANÇA !: Partido Progressista se divide beneficiando linhas de ações alternativas. http://goo.gl/D7XBZs,2014-05-07 17:47:19+00:00,44,39,,
jairbolsonaro,BOLSONARO EM 4 MINUTOS: http://goo.gl/rq2ML1,2014-05-07 15:13:53+00:00,19,15,,
jairbolsonaro,"#COMPARTILHE: Plano de Poder do PT, institucionalização da corrupção e o futuro do Brasil.",2014-05-04 18:48:57+00:00,74,33,,#COMPARTILHE
jairbolsonaro,"Via facebook (ferramenta sempre + clara), pedi p/ comentarem nova matéria escrita por @Rconstantino a meu respeito. http://goo.gl/TMSa0q",2014-05-02 19:28:22+00:00,12,13,@Rconstantino,
jairbolsonaro,"Hj, Rodrigo Constantino escreveu texto: ""BOLSONARO PRESIDENTE? MUITA CALMA NESSA HORA"". Acesse e comente. http://goo.gl/k7z80a",2014-05-01 00:38:12+00:00,27,41,,
