User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"MENORES NÃO SABEM O QUE FAZEM? Como a esquerda diz (PT, PSOL, PCdoB e REDE), como é a verdade!",2016-09-30 13:24:24+00:00,314,756,,
jairbolsonaro,Parabéns ao TJ-SP que anulou processos sobre Carandiru e se colocou ao lado da PM e sociedade. C/ @BolsonaroSP .,2016-09-28 14:44:10+00:00,154,656,@BolsonaroSP,
jairbolsonaro,Veja como fui recebido por estudantes ontem no RJ. Essa juventude é o q me faz acreditar no futuro do Brasil.,2016-09-28 14:10:26+00:00,108,487,,
jairbolsonaro,"HORAS ATRÁS: Na guerra, lanche vira café da manhã:",2016-09-28 14:05:48+00:00,290,1254,,
jairbolsonaro,Agradeço ao facebook BOLSONARO COM PEIXE NA MÃO EM VÁRIOS LUGARES e twitter: @BolsonaroPeixe ! S/sentido mas mto engraçado! Ai é a graça! ,2016-09-26 15:53:24+00:00,463,1366,@BolsonaroPeixe,
jairbolsonaro,PSOL calunia Médici e recebe troco de Jair BOLSONARO e do próprio Lula.,2016-09-26 15:19:11+00:00,389,941,,
jairbolsonaro,Entrevista p/ mídia japonesa sobre as verdades omitidas do passado e do presente no Brasil. ! Em breve mais detalhes! Um abraço a todos!,2016-09-26 12:53:20+00:00,179,823,,
jairbolsonaro,É GÓPI!,2016-09-26 10:41:53+00:00,254,681,,
jairbolsonaro,"Regular a mídia e internet! Essa é a democracia do PT. Se nem um pio da mídia admitem, imaginem c/ a internet. https://youtu.be/ECcsaaV_DTQ",2016-09-26 00:30:29+00:00,192,420,,
jairbolsonaro,Lula diz q internet libera o demônio das pessoas e vc acredita realmente q a grande mídia ñ é seu principal aliado? https://youtu.be/ECcsaaV_DTQ,2016-09-26 00:29:13+00:00,161,445,,
jairbolsonaro,"NÃO QUALQUER APOIO CANDIDATO A PREFEITO PELO BRASIL QUE ESTEJA COLIGADO COM PT, PSOL OU PCdoB:",2016-09-25 02:09:40+00:00,461,1484,,
jairbolsonaro,Novos soldados da PMERJ. Parabéns aos 510 formandos. DEUS OS ACOMPANHE EM TODAS AS SUAS JORNADAS! Com @carlosbolsonaro,2016-09-23 17:50:11+00:00,124,736,@CarlosBolsonaro,
jairbolsonaro,Beneficiários do Bolsa-Família já doaram quase R$16 milhões de reais a candidatos nas eleições 2016.,2016-09-22 14:24:34+00:00,269,524,,
jairbolsonaro,FALA DE ENÉAS CARNEIRO EM 1991:,2016-09-22 12:49:08+00:00,551,1183,,
jairbolsonaro,"Num país sério, responder a uma calúnia é mais q justo e ainda sendo parlamentar há a imunidade por suas palavras! A verdade prevalece!",2016-09-20 22:50:24+00:00,155,730,,
jairbolsonaro,Lula se torna réu na Lava Jato (desvio de dinheiro). Bolsonaro é réu por responder à uma calúnia. A diferença entre esquerda e Direita!,2016-09-20 22:48:15+00:00,453,1348,,
jairbolsonaro,O que a imprensa não conta: Cidadão armado mata terrorista e evita massacre nos EUA. http://tinyurl.com/gnbkdj5 (via @benebarbosa_mvb ),2016-09-20 17:01:09+00:00,255,502,@benebarbosa_mvb,
jairbolsonaro,Dividir a sociedade em classes e antecipar a sexualidade ñ é falha de governo. É um plano proposital de dominação:,2016-09-20 10:56:58+00:00,580,1219,,
jairbolsonaro,Sou apenas mais um contra essa ideologia que está acabando c/ o Brasil. Contem sempre comigo. Um abraço a todos!,2016-09-19 16:05:38+00:00,471,1627,,
jairbolsonaro,"Vou me recolher! Mto bacana interagir c/ amigos e gente q fala ""facista"", ""oftamologista"" e prega mais amor da boca pra fora! Boa noite!",2016-09-18 23:40:02+00:00,144,919,,
jairbolsonaro,CORREÇÃO: GUARANIS DO SAUDOSO EB.,2016-09-30 18:12:17+00:00,78,450,,
jairbolsonaro,"Grande parte de beneficiários do Bolsa Família. ""TUDO PELO SOCIAL!""",2016-09-30 00:26:53+00:00,97,229,,
jairbolsonaro,Sempre tentando enganar e ludibriar o eleitor!,2016-09-30 00:22:06+00:00,108,292,,
jairbolsonaro,Cadê as feministas?,2016-09-29 23:12:39+00:00,169,365,,
jairbolsonaro,"LULA, MAIS UMA VEZ, CITA JAIR BOLSONARO EM SEUS DEVANEIOS.",2016-09-29 15:13:32+00:00,72,275,,
jairbolsonaro,"PROJETO 2018 - DIREITA, VOLVER! PRECISAMOS DE VOCÊ. http://www.bolsonaro.com.br/2016/",2016-09-27 19:39:02+00:00,215,594,,
