User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"Hj estive c/ @BolsonaroSP na Cavalaria da PMESP e meus outros garotos, @VerBolsonaro e @FlavioBolsonaro na formatura de soldados da PMERJ.",2015-02-27 17:17:16+00:00,26,76,@BolsonaroSP @VerBolsonaro @FlavioBolsonaro,
jairbolsonaro,"Em manifestação contra a campanha de desarmamento do PT, em 9/12/04 já advertia: ""O EXÉRCITO DO PT É O MST"".",2015-02-26 16:59:38+00:00,320,258,,
jairbolsonaro,Hj estive no Ato em Solidariedade aos Familiares e Agentes de Segurança Pública assassinados no Brasil. Entenda:,2015-02-25 23:19:22+00:00,93,124,,
jairbolsonaro,ENTREGUE SUA ARMA: Os vagabundos e o PT agradecem. FACILITE AS INVASÕES DO MST.,2015-02-25 09:56:24+00:00,440,734,,
jairbolsonaro,QUEM É BOLSONARO! Entrevista no ano 2015 mais uma vez quebra paradigmas e revela o verdadeiro parlamentar. Veja:,2015-02-24 13:51:27+00:00,94,107,,
jairbolsonaro,"As drogas, A Polícia e o q queremos p/ nossos filhos. Por @FlavioBolsonaro Via @JornalOGlobo . http://goo.gl/NmLsrT",2015-02-19 14:28:55+00:00,59,55,@FlavioBolsonaro @JornalOGlobo,
jairbolsonaro,Conversa c/deputados: Foro de SP e enrijecimento da legislação penal. Vamos criando cultura d reação aos comunistas.,2015-02-10 19:40:25+00:00,310,300,,
jairbolsonaro,Papa diz q palmada é aceitável. Contagem regressiva p/ imbecis dizerem q Pontífice é a favor d espancamento d criança http://goo.gl/zLNZD6,2015-02-06 11:26:58+00:00,265,292,,
jairbolsonaro,PSDB e PT: O Brasil merece mais que estes governos. Citações de Bolsonaro e @OdeCarvalho,2015-02-05 15:59:56+00:00,129,119,@OdeCarvalho,
jairbolsonaro,"BRASIL DO PT, PSOL e PCdoB: Bolsonaro é tachado de homofóbico por quem se cala, consentindo c/ este tipo d barbárie.",2015-02-03 16:37:07+00:00,95,77,,
