User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"BOLSONARO, A CARA DA DIREITA.",2014-04-30 22:45:08+00:00,45,34,,
jairbolsonaro,"Acessem @VEJA, coluna de @radaronline e comentem a matéria: ""BOLSONARO PRESIDENTE?"".",2014-04-28 21:10:54+00:00,39,27,@VEJA @radaronline,
jairbolsonaro,BOLSONARO OFICIA SEU PARTIDO PARA CONCORRER À PRESIDÊNCIA DA REPÚBLICA.,2014-04-25 21:12:41+00:00,213,172,,
jairbolsonaro,"Câmara aprova, c único voto CONTRA d Bolsonaro, projeto q permite forças armadas d outros países a atuarem no Brasil. http://goo.gl/elu748",2014-04-24 18:22:09+00:00,129,58,,
jairbolsonaro,"EM VÍDEO, LULA APLAUDE FILÓSOFA QUE DIZ ODIAR A CLASSE MÉDIA: estão fazendo tudo direitinho.",2014-04-24 13:34:32+00:00,68,35,,
jairbolsonaro,DEUS SALVE AS CRIANÇAS II (2014):,2014-04-24 00:26:41+00:00,25,29,,
jairbolsonaro,METODOLOGIA DE ÍNDICE DE DESEMPREGO NA EUROPA X METODOLOGIA DE ÍNDICE DESEMPREGO NO BRASIL:,2014-04-23 12:59:39+00:00,98,128,,
jairbolsonaro,Este é o PT de ontem e de hoje!,2014-04-20 16:17:33+00:00,111,65,,
jairbolsonaro,ATENÇÃO POLICIAIS DE TODO O BRASIL: PSOL quer aprovação urgente d projeto q trata policiais como bandidos.,2014-04-16 01:17:11+00:00,128,51,,
jairbolsonaro,"Porto em Cuba, maior obra construída por Dilma, é utilizado p/ contrabando d armas p/ Coréia do Norte.",2014-04-14 18:48:00+00:00,144,70,,
jairbolsonaro,"TRAVESTI RECEBERÁ BOLSA-FAMÍLIA, DESCONTO EM CONTA DE LUZ E ISENÇÃO DE TAXAS EM INSCRIÇÃO DE CONCURSOS PÚBLICOS.",2014-04-11 11:51:35+00:00,74,40,,
jairbolsonaro,JAIR BOLSONARO DESMASCARA EX-MARIDO DE DILMA.,2014-04-10 21:21:30+00:00,41,30,,
jairbolsonaro,"Em debate entre Bolsonaro e o ex-marido d Dilma, Carlos Araújo cai em contradição e mente descaradamente. http://youtu.be/_YEnzoVfMF4",2014-04-10 21:20:51+00:00,32,26,,
jairbolsonaro,"Projeto q legaliza a maconha, beneficia estuprador, sequestrador e cria a Colônia de Férias do Doidão do PSOL. http://goo.gl/YkuvjC",2014-04-08 17:33:27+00:00,65,70,,
jairbolsonaro,"Enquanto Brasil vive a iminência de apagão, PT anuncia construção de hidrelétirca na Nicarágua.",2014-04-04 15:37:01+00:00,171,80,,
jairbolsonaro,Agradeço a crítica do economista @Rconstantino. O EXÉRCITO DE UM HOMEM SÓ. POR QUE JAIR BOLSONARO DEVE SER DEFENDIDO. http://goo.gl/0ei7UT,2014-04-03 18:52:44+00:00,75,53,@Rconstantino,
jairbolsonaro,"MESMO GESTO, DUAS SITUAÇÕES: Bolsonaro em desagravo a Joaquim Barbosa e André Vargas (PT) em apoio a mensaleiros.",2014-04-03 13:37:58+00:00,80,92,,
jairbolsonaro,Vídeo censurado: narrativa d guerrilheiros d como matavam até os próprios companheiros e culpavam Regime Militar.,2014-04-02 12:05:56+00:00,84,50,,
jairbolsonaro,"Após censura, Bolsonaro vai às ruas c/ faixas e fogos de artifício celebrar o 31/mar/64.",2014-04-02 01:11:22+00:00,36,31,,
jairbolsonaro,"A VERDADE DITA POR 1 OFUSCA AS MENTIRAS DITAS POR 300: Podem tentar nos censurar, mas ñ nos calarão.",2014-04-01 19:20:39+00:00,70,62,,
jairbolsonaro,Emendas parlamentares de @FlavioBolsonaro liberadas para a Polícia Militar. http://goo.gl/ERCIZZ,2014-04-29 13:30:16+00:00,9,12,@FlavioBolsonaro,
jairbolsonaro,"Progressistas mascarados, saiam do armário.",2014-04-28 17:09:58+00:00,14,19,,
jairbolsonaro,CELSO AMORIM É UMA PIADA: Bolsonaro discursa sobre atual situação das Forças Armadas no Brasil.,2014-04-23 14:14:05+00:00,30,22,,
jairbolsonaro,RT @PastorMalafaia Vergonha! SBT censura @RachelSherazade . Leia meu comentário. http://goo.gl/lxQXEk,2014-04-15 18:01:54+00:00,43,26,@PastorMalafaia @RachelSherazade,
jairbolsonaro,"""A infiltração Vermelha na Petrobras"" (por @Rconstantino ). Na história nada se cria, tudo se copia.",2014-04-15 18:00:23+00:00,24,17,@Rconstantino,
jairbolsonaro,TAXA DE DESEMPREGO NO BRASIL É UMA FARSA.,2014-04-15 13:39:25+00:00,37,21,,
jairbolsonaro,"Bolsonaro questiona ministro da Defesa, e p/ variar, ganha resposta evasiva: Atuação das FFAA nas favelas do Rio.",2014-04-14 13:10:12+00:00,25,18,,
jairbolsonaro,DEBATE COMPLETO ENTRE BOLSONARO E EX-MARIDO DE DILMA NA RÁDIO GUAÍBA.,2014-04-11 15:12:09+00:00,26,21,,
jairbolsonaro,"Meia noite irá ao ar, gravação do Programa @agoraetarde c/ @DepBolsonaro e @rafinhabastos .",2014-04-09 01:41:28+00:00,46,39,@agoraetarde @rafinhabastos,
