User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"Rotulado por Lula de ""analfabeto político"", digo: ""Sou tudo que ele não é. Lula não será meu cabo eleitoral, já é meu general eleitoral!""",2017-08-31 13:08:12+00:00,866,4368,,
jairbolsonaro,Falaram que saiu no Financial Times que comparado a mim Trump é um sujeito gentil. Agradeço o elogio!,2017-08-30 21:46:50+00:00,1159,7056,,
jairbolsonaro,SUA FILHA DE 5 ANOS NO MESMO BANHEIRO QUE O MARMANJO DE 30. É o que propõe o piçóu carioca!,2017-08-30 00:49:44+00:00,2391,5648,,
jairbolsonaro,"- @MagnoMaltaOfc , @jairbolsonaro e o analfabetismo político de Lula da Silva.",2017-08-30 00:28:42+00:00,1555,4497,@jairbolsonaro,
jairbolsonaro,Não sei quem é Pablo Vitar. Boa tarde a todos!,2017-08-28 17:39:36+00:00,17749,44562,,
jairbolsonaro,"- Lula: ""Bolsonaro é o resultado do analfabetismo político.""",2017-08-28 12:51:35+00:00,641,3190,,
jairbolsonaro,"Sábado falei para 70mil pessoas em Barretos. Pessoas do campo, responsáveis pela comida em nossa mesa. Ser ovacionado pelo povo ñ tem preço.",2017-08-28 01:25:30+00:00,1467,6011,,
jairbolsonaro,"Hospital do Câncer de Barretos-SP,referência nacional ,p/ onde @BolsonaroSP destinou recursos do orçamento impositivo seguindo legislação:",2017-08-26 19:31:26+00:00,432,2197,@BolsonaroSP,
jairbolsonaro,Nossa continência aos Soldados do Brasil.,2017-08-26 00:51:00+00:00,840,4969,,
jairbolsonaro,Precisamos nos livrar das amarras do Mercosul e partir para o bilateralismo. O Brasil tem autonomia para fazer comércio com o mundo todo!,2017-08-25 18:05:06+00:00,1310,5450,,
jairbolsonaro,Nosso país nos últimos anos fez economia pra sustentar países do Foro de São Paulo e esqueceu seu próprio povo. O Brasil é maior que isso!,2017-08-25 18:04:47+00:00,921,3572,,
jairbolsonaro,"“Xingue-os do que você é, acuse-os do que você faz”",2017-08-25 00:53:35+00:00,1192,3341,,
jairbolsonaro,O Brasil abre a Amazônia para o mundo explorar seu ouro. Enquanto os nossos garimpeiros continuam sendo tratados como bandidos.,2017-08-24 11:46:48+00:00,1212,4746,,
jairbolsonaro,Querem criar o fundão bilionário na Reforma Política mas alegam não ter dinheiro para aplicabilidade plena do voto impresso! Contem outra!,2017-08-23 15:12:48+00:00,2178,6884,,
jairbolsonaro,"""Ovada"" em Jair Bolsonaro pode, diz professora agredida por aluno. Essa senhora ñ representa os docentes do Brasil.",2017-08-22 22:49:43+00:00,422,1861,,
jairbolsonaro,"- ""Não passarão????? - Eu já passei, pô!!!!!"" - Obrigado, Volta Redonda.",2017-08-22 20:09:06+00:00,775,3482,,
jairbolsonaro,"Em Volta Redonda - RJ, onde após esta emocionante recepção pudemos expor muitas de nossas ideias. ! Com @flaviobolsonaro",2017-08-22 11:18:27+00:00,678,2757,@FlavioBolsonaro,
jairbolsonaro,"Quem está na frente de uma sala de aula e diz que Bolsonaro é nazista; não é apenas mentiroso, mas desonesto, pilantra e vagabundo!",2017-08-21 23:23:29+00:00,2048,8088,,
jairbolsonaro,O SOCIALISMO SÓ DEU CERTO NOS LIVROS DO MEC.,2017-08-21 21:16:31+00:00,3058,8817,,
jairbolsonaro,"MAIS AMOR, POR FAVOR: ",2017-08-21 14:29:15+00:00,1264,4244,,
jairbolsonaro,"- Seremos, no Brasil, inquilinos da China?",2017-08-31 20:44:12+00:00,499,1684,,
jairbolsonaro,Debate sobre governo Maduro com venezuelanos na Comissão de Relações exteriores e Defesa Nacional. Com @BolsonaroSP. Assista no facebook!,2017-08-30 18:20:22+00:00,164,918,@BolsonaroSP,
jairbolsonaro,"Hoje estive na Associação Comercial e Industrial da Barra da Tijuca onde conversamos sobre segurança, economia e política! ",2017-08-28 19:30:24+00:00,227,2557,,
jairbolsonaro,"""O futuro do Brasil passa pelo respeito à inocência de nossas crianças.""",2017-08-27 18:14:46+00:00,264,1502,,
jairbolsonaro,"Boas as lembranças de meus 13 anos de idade, quando montava cavalo sem sela em Eldorado Paulista, mas hoje teve muito mais conforto! ",2017-08-26 22:26:45+00:00,174,1698,,
jairbolsonaro,"Entrevista e conversa c/paulistas sobre Brasil, situação econômica, relações internacionais e cenário político nacional! O BRASIL TEM JEITO!",2017-08-26 20:33:13+00:00,140,969,,
jairbolsonaro,- Aeroporto de São José do Rio Preto. - Rumo a Barretos. C/ @BolsonaroSP @FlavioBolsonaro e @CarlosBolsonaro,2017-08-26 15:43:52+00:00,622,2632,@BolsonaroSP @FlavioBolsonaro @CarlosBolsonaro,
jairbolsonaro,O @BlogDoPim analisa as falsas defensoras das mulheres q são contra redução da maioridade penal p/ estupradores.,2017-08-26 00:31:44+00:00,193,767,,
jairbolsonaro,"VENEZUELA - queridinha do PSOL, PT, PCdoB e outros : UM ALERTA PARA O BRASIL (PARTE III):",2017-08-25 15:11:55+00:00,146,624,,
jairbolsonaro,"- Comandante da ROTA - PMESP: ""O Brasil precisa de um Presidente honesto.""",2017-08-25 14:36:05+00:00,241,1161,,
