User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"Projeto do PT enviado para o Congresso, retira poder da Polícia Federal p/ fortalecer Secretaria d Direitos Humanos.",2014-08-31 16:26:33+00:00,129,52,,
jairbolsonaro,"C/ @FlavioBolsonaro na Associação de Veteranos da Brigada de Infantaria Paraquedista, onde servi entre 83 e 86.",2014-08-27 19:14:02+00:00,16,29,@FlavioBolsonaro,
jairbolsonaro,"C/ DR. ENÉAS: UM DOS HOMENS + INTELIGENTES, PROPOSITALMENTE DESVALORIZADO, Q TIVE A HONRA DE CONVIVER.",2014-08-27 13:25:05+00:00,65,128,,
jairbolsonaro,"ENTENDA COMO ASSALTAR, ESTUPRAR E AINDA SAIR COMO VÍTIMA (Por @FlavioBolsonaro):",2014-08-26 15:38:08+00:00,35,23,@FlavioBolsonaro,
jairbolsonaro,"Em vídeo de 3 minutos, conheça o deputado estadual (RJ) 11.120 @FlavioBolsonaro.",2014-08-26 11:59:41+00:00,12,12,@FlavioBolsonaro,
jairbolsonaro,"Ucrânia investirá + d €2 bilhões em seu Exército, enquanto no Brasil, somente desmoralização financeira.",2014-08-25 19:17:41+00:00,35,28,,
jairbolsonaro,"Celebração do Dia do Soldado, na Assembléia Legislativa do Estado do RJ. C/ @FlavioBolsonaro e @VerBolsonaro ).",2014-08-23 11:40:32+00:00,16,22,@FlavioBolsonaro @VerBolsonaro,
jairbolsonaro,BOLSONARO E CLODOVIL: CADÊ A HOMOFOBIA? http://youtu.be/Rs4ZGYNdXqI,2014-08-21 18:41:34+00:00,23,21,,
jairbolsonaro,CASO PRETA GIL / BOLSONARO (NOVO E DETERMINANTE FATO). PQ SERÁ Q A IMPRENSA Ñ DIVULGA ISSO? http://goo.gl/Bz6T0e,2014-08-19 13:24:14+00:00,28,26,,
jairbolsonaro,"Existem páginas apesar de ñ serem oficiais da Família Bolsonaro, são simpáticas. Cabe a nós filtrarmos e checarmos sempre seu conteúdo.",2014-08-18 14:21:54+00:00,4,16,,
jairbolsonaro,ESCLARECIMENTO: As únicas fanpages oficiais no facebook sobre Bolsonaro são:,2014-08-18 12:33:53+00:00,21,17,,
jairbolsonaro,CORREÇÃO: Conheci casualmente o sobrinho d herói q morreu impedindo q o comunismo fosse implementado no Brasil.,2014-08-15 15:05:36+00:00,16,32,,
jairbolsonaro,C/ O POLICIAL FEDERAL @BolsonaroSP EM DIREÇÃO À CAMPINAS.,2014-08-13 12:52:20+00:00,16,26,@BolsonaroSP,
jairbolsonaro,"RAP DA FAMÍLIA BOLSONARO: Ainda ñ conheço o autor, mas gostaria d agradecer a homenagem.",2014-08-11 21:16:57+00:00,40,97,,
jairbolsonaro,"Na foto segue nosso itinerário esta semana no Estado de SP. RIBEIRÃO PRETO, PIRASSUNUNGA, CAMPINAS (c/ @BolsonaroSP ).",2014-08-10 22:09:42+00:00,6,15,@BolsonaroSP,
jairbolsonaro,"As bananas do Foro de SP, segundo Bolsonaro: “Isso é uma palhaçada mas é muito sério”. http://goo.gl/tz6ijp (Via @BlogDoPim )",2014-08-08 14:42:22+00:00,22,17,,
jairbolsonaro,Acompanhe Bolsonaro nas Redes Sociais (Clique e saiba os endereços). http://goo.gl/bV7yyz,2014-08-06 14:50:57+00:00,3,7,,
jairbolsonaro,NOVO VÍDEO C/ MOMENTOS DE BOLSONARO DURANTE RECENTES ENTREVISTAS. VALE A PENA ASSISTIR. http://goo.gl/Ex2nUG,2014-08-06 12:49:26+00:00,18,19,,
jairbolsonaro,"C/ @FlavioBolsonaro , em campanha no calçadão de Copacabana, acompanhamos justa manifestação pacífica pró Israel.",2014-08-03 19:30:12+00:00,44,31,@FlavioBolsonaro,
jairbolsonaro,ALERTA AOS AGRICULTORES DE SP / BA e SC.,2014-08-01 13:26:19+00:00,45,21,,
jairbolsonaro,"C/ @FlavioBolsonaro no aniversário de 98 anos da Aviação Naval, na Base Aérea Naval de São Pedro da Aldeia-RJ.",2014-08-22 17:45:21+00:00,8,13,@FlavioBolsonaro,
jairbolsonaro,Brevetação de 1.229 soldados paraquedistas! C/ @FlavioBolsonaro,2014-08-16 18:26:47+00:00,9,19,@FlavioBolsonaro,
jairbolsonaro,"Caso possa nos ajudar na campanha no RJ ou SP, cadastre-se conosco e receba o material em sua casa. http://goo.gl/FPFcv1",2014-08-14 19:54:04+00:00,6,7,,
jairbolsonaro,Jovens e Política: Escolas livres de doutrinação ideológica. http://goo.gl/cr1jPc ( via @FlavioBolsonaro e @escolasempartid ),2014-08-14 15:31:15+00:00,18,9,@FlavioBolsonaro @escolasempartid,
jairbolsonaro,"C/ @FlavioBolsonaro, panfletagem na Praça Saens Peña (Tijuca - Rio de Janeiro / RJ). #JairBolsonaro1120 #FlávioBolsonaro11.120 .SELVA!",2014-08-09 17:43:34+00:00,5,11,@FlavioBolsonaro,#JairBolsonaro1120 #Fl
jairbolsonaro,"Selva! RT @Angelo__Aleixo Do lado do #Bolsonaro Esses caras são gente fina d+, foi uma honra tê-los conhecido ! https://twitter.com/Angelo__Aleixo/status/497731556514234368/photo/1",2014-08-08 14:36:34+00:00,4,10,,#Bolsonaro
