User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"A situação da Venezuela preocupa a todos. Qualquer hipótese será decidida EXCLUSIVAMENTE pelo Presidente da República, ouvindo o Conselho de Defesa Nacional. O Governo segue unido, juntamente com outras nações, na busca da melhor solução que restabeleça a democracia naquele país.",2019-04-30 21:03:29+00:00,8382,50020,,
jairbolsonaro, ,2019-04-30 20:09:06+00:00,7190,40555,,
jairbolsonaro,"O Brasil acompanha com bastante atenção a situação na Venezuela e reafirma o seu apoio na transição democrática que se processa no país vizinho. O Brasil está ao lado do povo da Venezuela, do presidente Juan Guaidó e da liberdade dos venezuelanos.",2019-04-30 15:34:39+00:00,7505,47812,,
jairbolsonaro,"O Brasil se solidariza com o sofrido povo venezuelano escravizado por um ditador apoiado pelo PT, PSOL e alinhados ideológicos. Apoiamos a liberdade desta nação irmã para que finalmente vivam uma verdadeira democracia.",2019-04-30 15:04:15+00:00,15488,83888,,
jairbolsonaro,"Desde que a casa não seja a dele, pode invadir e fazer a festa com sua família!",2019-04-30 10:33:47+00:00,3729,26920,,
jairbolsonaro,"Mais amor e menos ódio, diretor de cinema! ",2019-04-30 02:36:46+00:00,3762,34011,,
jairbolsonaro,"- Nenhum novo imposto será criado. - Jair Bolsonaro, PR.",2019-04-29 12:32:58+00:00,8238,51969,,
jairbolsonaro,"A @policiafederal , com apoio do MPF, deflagrou a Operação Arquimedes contra um esquema de corrupção na extração ilegal de madeira na floresta amazônica. A PF prendeu 26 suspeitos, entre eles o ex-superintendente do Ibama no Amazonas.",2019-04-28 22:52:44+00:00,7146,50282,@policiafederal,
jairbolsonaro,Professor tem que ensinar e não doutrinar.,2019-04-28 11:44:25+00:00,11563,72896,,
jairbolsonaro,"Conheci nesta manhã a casa da Yasmim e família, na Estrutural, área pobre do DF. Retribuí a agradável visita ao Palácio do Planalto. Que Deus abençoe esta família e a vida desta doce e educada menina. Que possamos construir um futuro melhor para ela e todas as crianças do Brasil!",2019-04-27 22:35:13+00:00,5877,56635,,
jairbolsonaro,O consumo de bebida alcoólica é proibido na cadeia. Boa tarde a todos!,2019-04-27 15:04:24+00:00,9155,58207,,
jairbolsonaro,- São Paulo terá o maior Colégio Miltar do Brasil. - Jair Bolsonaro.,2019-04-27 13:31:35+00:00,5387,38012,,
