User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,Aos idiotas q descartam a ciência e chamam td d preconceito: Países da UE podem proibir homens gays d doar sangue.,2015-04-30 13:49:35+00:00,85,132,,
jairbolsonaro,ELES NÃO ROUBARÃO TAMBÉM A NOSSA LIBERDADE.,2015-04-26 23:57:40+00:00,166,287,,
jairbolsonaro,Neste sábado estarei no Programa do @pgmraulgil (Raul Gil) no SBT.,2015-04-24 20:32:00+00:00,73,172,@pgmraulgil,
jairbolsonaro,Campo Grande /MS aplaude e pede Jair Bolsonaro presidente!,2015-04-22 21:46:18+00:00,95,190,,
jairbolsonaro,"Honrado em ser condecorado pela Polícia Militar/MS nesta quinta. OAB e Dir. Humanos, p/variar, repudiam c/mentiras. http://goo.gl/EUf2Wu",2015-04-21 00:15:17+00:00,136,219,,
jairbolsonaro,POVO ARMADO É POVO LIVRE.,2015-04-17 20:56:53+00:00,217,244,,
jairbolsonaro,"No 5• Congresso Nacional do PT, no item 157, o partido determina como meta a cassação de Bolsonaro. http://goo.gl/Dtr0wu",2015-04-16 19:36:39+00:00,186,151,,
jairbolsonaro,"@RachelSherazade é uma das poucas profissionais q hj cumprem o papel imparcial do jornalismo brasileiro, mesmo q isso custe sua paz! Força!",2015-04-16 16:58:53+00:00,357,537,@RachelSherazade,
jairbolsonaro,CONDENADO POR HOMOFOBIA? - DESTRUIÇÃO DE REPUTAÇÃO.,2015-04-16 10:55:46+00:00,183,254,,
jairbolsonaro,"Estadão (15/04/15): "" Ñ sou homofóbico, gordofóbico, flamengofóbico... O governo é q estimula isso..."" Jair Bolsonaro.",2015-04-15 18:41:08+00:00,136,200,,
jairbolsonaro,DESFILIAÇÃO DO PP - O PRIMEIRO PASSO: http://goo.gl/Nq41TN,2015-04-15 01:08:24+00:00,211,305,,
jairbolsonaro,"Recente absolvição d @CarlosBolsonaro, ñ cabendo + recurso, em caso LGBT ñ tem espaço algum nos meios d comunicação! http://goo.gl/Q9iYoz",2015-04-14 19:40:15+00:00,87,119,@CarlosBolsonaro,
jairbolsonaro,Condenação em primeira instância por entendimento de existência de ofensas a grupos LGBT cabe recurso e estamos muito tranquilos! ,2015-04-14 19:34:23+00:00,65,194,,
jairbolsonaro,NA PAULISTA COM O BRASIL.,2015-04-13 01:08:05+00:00,87,174,,
jairbolsonaro,#Dia12EuVou #NAPAULISTA (Horário e ponto de encontro com amigos):,2015-04-11 21:52:29+00:00,94,184,,#Dia12EuVou #NAPAULISTA
jairbolsonaro,André Vargas (PT): Mais um a caminho da Papuda. (Via @CarlosBolsonaro ),2015-04-10 13:17:41+00:00,164,175,@CarlosBolsonaro,
jairbolsonaro,No fato ocorrido durante vôo da TAM é importante nos atermos à mensagem q escrevi no facebook ao publicar o vídeo.,2015-04-08 22:47:33+00:00,409,411,,
jairbolsonaro,@DepBolsonaro é discriminado por @jeanwyllys_real em vôo da TAM. Imagine se fosse o contrário. Veja o vídeo!,2015-04-07 20:39:26+00:00,339,290,@jeanwyllys_real,
jairbolsonaro,"Brasil, Foro de SP e Bolivarianismo! Pura invenção e intriga da oposição! #SQN",2015-04-04 21:17:00+00:00,392,277,,#SQN
jairbolsonaro,PT aparelha Comissão de Relações Internacionais para agilizar projetos que facilitem acordos feitos no FORO de SP.,2015-04-03 11:29:22+00:00,340,241,,
jairbolsonaro,"A relação entre Lula, os índios do PT e Kadafi. (Link da ata da reunião no Senado: http://goo.gl/4cWFOl) - foto:",2015-04-29 18:30:08+00:00,75,59,,
jairbolsonaro,Sigam meus garotos no twitter. Em suas esferas legislativas refletindo nossos pensamentos: @CarlosBolsonaro @BolsonaroSP @FlavioBolsonaro,2015-04-28 14:57:40+00:00,36,68,@CarlosBolsonaro @BolsonaroSP @FlavioBolsonaro,
jairbolsonaro,Projeto estipula crimes e penas p/ condutas praticadas contra cães e gatos! Vc votaria contra ou a favor a esse PL?,2015-04-24 13:40:44+00:00,53,105,,
jairbolsonaro,ARMA DE FOGO/ DIREITO DE DEFESA: Minha opinião publicada pelo @JornalOGlobo e comentada por @Rconstantino . http://goo.gl/D9Or7w,2015-04-20 20:28:59+00:00,106,141,@JornalOGlobo @Rconstantino,
jairbolsonaro,"ESTATUTO DO DESARMAMENTO: Notícia falsa s/ ""retratação"" dada por telejornal de grande importância. http://goo.gl/FV7p1b (Via @BlogDoPim )",2015-04-15 21:02:31+00:00,86,90,,
jairbolsonaro,12 DE ABRIL: #NAPAULISTA #FORADILMA #Dia12EuVou (Com @BolsonaroSP e @CarlosBolsonaro ),2015-04-11 21:49:05+00:00,57,114,@BolsonaroSP @CarlosBolsonaro,#NAPAULISTA #FORADILMA #Dia12EuVou
jairbolsonaro,"GOVERNO /DIREITOS HUMANOS/ CONTROLE DA INTERNET: Diário Oficial (9/04/13) traz 2 portarias d ""segurança"" na internet. http://goo.gl/RwHgdH",2015-04-10 18:27:09+00:00,50,53,,
jairbolsonaro,"Via @FlavioBolsonaro :""A hipocrisia de esquerda sobre desmilitarização, desarmamento e pacifismo"".",2015-04-09 14:20:20+00:00,61,75,@FlavioBolsonaro,
jairbolsonaro,MENTIRAM PARA MIM SOBRE O DESARMAMENTO: livro de @Flavio_Quintela e @benebarbosa_mvb #RECOMENDAMOS (C/ @BolsonaroSP ),2015-04-08 19:25:55+00:00,86,112,@Flavio_Quintela @benebarbosa_mvb @BolsonaroSP,#RECOMENDAMOS
jairbolsonaro,Via Instagram (@JairMessiasBolsonaro).,2015-04-07 18:09:50+00:00,33,94,,
jairbolsonaro,RESUMO DE VIDA DO BLOG FAMÍLIA BOLSONARO: CLIQUE E CONFIRA. http://goo.gl/dYJFHX,2015-04-06 18:10:58+00:00,20,51,,
jairbolsonaro,"Íntegra do hangout #TerçaLivre c/ @allanldsantos, @PauloMartins10, @Depbolsonaro, @presidentemvb e @OdeCarvalho. http://goo.gl/taMLxC",2015-04-01 11:59:06+00:00,86,87,@allanldsantos @PauloMartins10 @presidentemvb @OdeCarvalho,#Ter
